cityId,cityName_CN,cityName_EN,Lon,Lat,Regis_pop,Res_pop,GDP,Mob_degree,Pub_degree
430800,张家界,Zhangjiajie,110.529,29.3919,530000.0,575000.0,25291810000.0,234524,16
611000,商洛,Shangluo,109.899,33.6487,570000.0,569000.0,13608800000.0,175027,56
360600,鹰潭,Yingtan,117.107,28.2257,240000.0,249000.0,21573200000.0,245359,14
451200,河池,Hechi,107.84,24.6441,340000.0,467000.0,11729350000.0,367149,28
530900,临沧,Lincang,99.6738,23.9402,320000.0,370000.0,9959470000.0,93603,4
451400,崇左,Chongzuo,107.275,22.5026,370000.0,382000.0,15967600000.0,260741,9
445300,云浮,Yunfu,111.796,22.8158,680000.0,3316000.0,23416340000.0,360122,23
511800,雅安,Ya'an,102.663,29.9163,620000.0,635000.0,21446950000.0,166090,170
640400,固原,Guyuan,106.183,35.9508,460000.0,563000.0,10332380000.0,112692,22
640500,中卫,Zhongwei,105.465,37.0504,410000.0,422000.0,15571570000.0,178013,8
621200,陇南,Longnan,105.223,33.5966,600000.0,590000.0,10374190000.0,151651,8
500100,重庆,Chongqing,107.875,30.0591,24490000.0,29074000.0,1572446000000.0,4438557,4387
210100,沈阳,Shenyang,123.138,42.0957,5860000.0,6497000.0,492256970000.0,1213223,4527
440500,汕头,Shantou,116.581,23.3364,5520000.0,5820000.0,206385210000.0,466330,330
420100,武汉,Wuhan,114.344,30.6257,5180000.0,11216000.0,963060280000.0,2517555,10244
220100,长春,Changchun,125.769,44.3794,4360000.0,4792000.0,470700590000.0,1314321,4534
130100,石家庄,Shijiazhuang,114.441,38.1296,4150000.0,4728000.0,321482500000.0,1342988,1429
210200,大连,Dalian,122.214,39.599,3980000.0,4128000.0,385568750000.0,672672,3492
360100,南昌,Nanchang,116.025,28.6618,3020000.0,3370000.0,330058830000.0,1141298,2327
440900,茂名,Maoming,110.954,22.0153,2960000.0,2887000.0,129516100000.0,399416,94
520100,贵阳,Guiyang,106.707,26.843,2450000.0,3190000.0,240365270000.0,1729730,1466
510700,绵阳,Mianyang,104.702,31.8488,1750000.0,2147000.0,99289020000.0,577058,1387
410200,开封,Kaifeng,114.532,34.6071,1700000.0,1231000.0,63710070000.0,463186,514
440800,湛江,Zhanjiang,110.162,21.0953,1650000.0,3014000.0,114562020000.0,495783,391
210400,抚顺,Fushun,124.654,41.8334,1400000.0,1429000.0,73088290000.0,178089,197
441200,肇庆,Zhaoqing,112.202,23.5406,1390000.0,1664000.0,110031440000.0,623080,75
430900,益阳,Yiyang,111.95,28.5733,1370000.0,1460000.0,62567990000.0,275837,62
230200,齐齐哈尔,Qiqihar,124.541,47.696,1360000.0,1380000.0,62080600000.0,294975,164
150100,呼和浩特,Hohhot,111.495,40.5918,1320000.0,1945000.0,236575000000.0,512618,728
511600,广安,Guang'an,106.663,30.4248,1270000.0,1166000.0,31685690000.0,367955,7
211400,葫芦岛,Huludao,120.195,40.6251,980000.0,719000.0,31728370000.0,265583,34
231000,牡丹江,Mudanjiang,129.886,44.5944,880000.0,885000.0,34790950000.0,189719,73
